"","batsman","total_runs","out","numberofballs","average","strikerate","total_four","total_six"
"456","SS Iyer",1695,57,1321,29.7368421052632,128.311884935655,150,67
"457","SS Shaikh",6,0,7,NA,85.7142857142857,1,0
"458","SS Tiwary",1276,42,1064,30.3809523809524,119.924812030075,93,45
"459","ST Jayasuriya",768,29,531,26.4827586206897,144.632768361582,84,39
"460","STR Binny",880,44,683,20,128.843338213763,66,35
"461","Sunny Gupta",0,1,1,0,0,0,0
"462","Sunny Singh",43,4,31,10.75,138.709677419355,6,1
"463","SV Samson",2215,79,1693,28.0379746835443,130.832841110455,171,89
"464","SW Billings",337,19,250,17.7368421052632,134.8,31,10
"465","SW Tait",23,3,26,7.66666666666667,88.4615384615385,1,1
"466","Swapnil Singh",12,3,20,4,60,0,0
"467","T Curran",23,3,27,7.66666666666667,85.1851851851852,3,0
"468","T Henderson",11,1,16,11,68.75,0,1
"469","T Kohli",11,3,19,3.66666666666667,57.8947368421053,0,1
"470","T Taibu",31,3,26,10.3333333333333,119.230769230769,3,0
"471","T Thushara",12,2,18,6,66.6666666666667,0,0
"472","TA Boult",12,2,14,6,85.7142857142857,0,1
"473","TD Paine",10,2,26,5,38.4615384615385,0,0
"474","TG Southee",115,6,90,19.1666666666667,127.777777777778,8,4
"475","TL Suman",676,30,573,22.5333333333333,117.975567190227,55,26
"476","TM Dilshan",1153,41,1006,28.1219512195122,114.612326043738,140,24
"477","TM Head",205,6,148,34.1666666666667,138.513513513514,12,8
"478","TM Srivastava",8,1,11,8,72.7272727272727,0,0
"479","TR Birt",75,5,58,15,129.310344827586,9,2
"480","TS Mills",8,3,11,2.66666666666667,72.7272727272727,0,1
"481","U Kaul",0,0,1,NA,0,0,0
"482","UA Birla",7,1,14,7,50,1,0
"483","UBT Chand",300,20,300,15,100,32,9
"484","Umar Gul",39,3,19,13,205.263157894737,1,5
"485","UT Khawaja",127,5,100,25.4,127,14,3
"486","UT Yadav",122,12,124,10.1666666666667,98.3870967741936,11,4
"487","V Kohli",5426,152,4111,35.6973684210526,131.987351009487,482,191
"488","V Pratap Singh",0,1,1,0,0,0,0
"489","V Sehwag",2728,98,1746,27.8367346938776,156.242840778923,334,106
"490","V Shankar",563,17,416,33.1176470588235,135.336538461538,34,24
"491","VH Zol",29,2,26,14.5,111.538461538462,3,1
"492","Vishnu Vinod",19,3,26,6.33333333333333,73.0769230769231,1,1
"493","VR Aaron",49,3,62,16.3333333333333,79.0322580645161,2,2
"494","VRV Singh",4,1,2,4,200,1,0
"495","VS Malik",7,1,7,7,100,1,0
"496","VS Yeligati",2,1,2,2,100,0,0
"497","VVS Laxman",282,16,266,17.625,106.015037593985,33,5
"498","VY Mahesh",15,2,26,7.5,57.6923076923077,0,0
"499","W Jaffer",130,7,121,18.5714285714286,107.438016528926,14,3
"500","WA Mota",56,5,73,11.2,76.7123287671233,2,0
"501","Washington Sundar",75,6,50,12.5,150,5,4
"502","WD Parnell",63,9,75,7,84,4,1
"503","WP Saha",1767,74,1340,23.8783783783784,131.865671641791,161,59
"504","WPUJC Vaas",81,7,73,11.5714285714286,110.958904109589,2,3
"505","X Thalaivan Sargunam",10,1,17,10,58.8235294117647,0,0
"506","Y Gnaneswara Rao",19,1,17,19,111.764705882353,3,0
"507","Y Nagar",285,15,257,19,110.894941634241,20,9
"508","Y Venugopal Rao",985,42,834,23.452380952381,118.10551558753,77,37
"509","YA Abdulla",0,0,1,NA,0,0,0
"510","Yashpal Singh",47,4,66,11.75,71.2121212121212,5,0
"511","YK Pathan",3222,110,2240,29.2909090909091,143.839285714286,264,161
"512","Younis Khan",3,1,7,3,42.8571428571429,0,0
"513","YS Chahal",22,4,48,5.5,45.8333333333333,0,0
"514","Yuvraj Singh",2755,109,2121,25.2752293577982,129.89156058463,218,149
"515","YV Takawale",192,8,178,24,107.865168539326,26,3
"516","Z Khan",117,15,138,7.8,84.7826086956522,11,2
